股票代码,名称,所属行业,地域,上市日期,TS代码,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,涨跌额,涨跌幅(%),成交量(手),成交额(千元),换手率(%),换手率(自由流通股),量比,市盈率,"市盈率(TTM,亏损的PE为空)",市净率,市销率,市销率(TTM),股息率(%),股息率(TTM)(%),总股本(万股),流通股本(万股),自由流通股本(万股),总市值(万元),流通市值(万元)
000793,ST华闻,出版业,海南,19970729,000793.SZ,20251205,2.99,2.99,2.95,2.98,2.98,0.0,0.0,181934.01,53953.411,0.9278,1.1988,0.79,,,51.9629,17.7294,17.5515,0.0,,199724.5457,196100.8615,151761.1002,595179.1462,584380.5673
000793,ST华闻,出版业,海南,19970729,000793.SZ,20251204,2.98,3.03,2.96,2.98,2.98,0.0,0.0,165772.12,49719.36,0.8453,1.0923,0.71,,,51.9629,17.7294,17.5515,0.0,,199724.5457,196100.8615,151761.1002,595179.1462,584380.5673
000793,ST华闻,出版业,海南,19970729,000793.SZ,20251203,3.02,3.04,2.96,2.98,3.04,-0.06,-1.9737,225688.3,67478.024,1.1509,1.4871,1.03,,,51.9629,17.7294,17.5515,0.0,,199724.5457,196100.8615,151761.1002,595179.1462,584380.5673
000793,ST华闻,出版业,海南,19970729,000793.SZ,20251202,2.95,3.08,2.91,3.04,2.94,0.1,3.4014,376425.43,113041.346,1.9196,2.4804,2.06,,,53.0091,18.0864,17.9049,0.0,,199724.5457,196100.8615,151761.1002,607162.6189,596146.619
000793,ST华闻,出版业,海南,19970729,000793.SZ,20251201,2.92,2.97,2.86,2.94,2.92,0.02,0.6849,231902.53,67635.15,1.1826,1.5281,1.28,,,51.2654,17.4915,17.3159,0.0,,199724.5457,196100.8615,151761.1002,587190.1644,576536.5328
000793,ST华闻,出版业,海南,19970729,000793.SZ,20251128,2.91,2.92,2.89,2.92,2.92,0.0,0.0,151335.01,43931.078,0.7717,0.9972,0.75,,,50.9167,17.3725,17.1982,0.0,,199724.5457,196100.8615,151761.1002,583195.6734,572614.5156
000793,ST华闻,出版业,海南,19970729,000793.SZ,20251127,2.9,2.93,2.89,2.92,2.91,0.01,0.3436,182343.72,52955.383,0.9298,1.2015,0.87,,,50.9167,17.3725,17.1982,0.0,,199724.5457,196100.8615,151761.1002,583195.6734,572614.5156
000793,ST华闻,出版业,海南,19970729,000793.SZ,20251126,2.94,2.99,2.91,2.91,2.96,-0.05,-1.6892,153191.0,45170.462,0.7812,1.0094,0.63,,,50.7423,17.313,17.1393,0.0,,199724.5457,196100.8615,151761.1002,581198.428,570653.507
000793,ST华闻,出版业,海南,19970729,000793.SZ,20251125,2.96,3.01,2.95,2.96,2.96,0.0,0.0,194625.14,57928.62,0.9925,1.2824,0.75,,,51.6141,17.6104,17.4337,0.0,,199724.5457,196100.8615,151761.1002,591184.6553,580458.55
000793,ST华闻,出版业,海南,19970729,000793.SZ,20251124,2.89,2.98,2.88,2.96,2.88,0.08,2.7778,224454.75,65922.175,1.1446,1.479,0.8,,,51.6141,17.6104,17.4337,0.0,,199724.5457,196100.8615,151761.1002,591184.6553,580458.55
