股票代码,名称,所属行业,地域,上市日期,TS代码,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,涨跌额,涨跌幅(%),成交量(手),成交额(千元),换手率(%),换手率(自由流通股),量比,市盈率,"市盈率(TTM,亏损的PE为空)",市净率,市销率,市销率(TTM),股息率(%),股息率(TTM)(%),总股本(万股),流通股本(万股),自由流通股本(万股),总市值(万元),流通市值(万元),今日涨停价,今日跌停价,复权因子
002581,未名医药,生物制药,山东,20110520,002581.SZ,20251205,7.41,7.42,7.32,7.4,7.38,0.02,0.271,31433.0,23157.843,0.7843,0.9613,0.73,,,2.6116,13.546,18.9414,0.0,,65973.5586,40079.1161,32696.8361,488204.3336,296585.4591,7.75,7.01,2.887
002581,未名医药,生物制药,山东,20110520,002581.SZ,20251204,7.54,7.54,7.35,7.38,7.54,-0.16,-2.122,41100.0,30404.436,1.0255,1.257,1.02,,,2.6045,13.5094,18.8902,0.0,,65973.5586,40079.1161,32696.8361,486884.8625,295783.8768,7.92,7.16,2.887
002581,未名医药,生物制药,山东,20110520,002581.SZ,20251203,7.7,7.71,7.45,7.54,7.64,-0.1,-1.3089,52424.0,39421.552,1.308,1.6033,1.42,,,2.661,13.8023,19.2997,0.0,,65973.5586,40079.1161,32696.8361,497440.6318,302196.5354,8.02,7.26,2.887
002581,未名医药,生物制药,山东,20110520,002581.SZ,20251202,7.87,7.98,7.63,7.64,7.87,-0.23,-2.9225,47110.21,36352.633,1.1754,1.4408,1.45,,,2.6963,13.9853,19.5557,0.0,,65973.5586,40079.1161,32696.8361,504037.9877,306204.447,8.26,7.48,2.887
002581,未名医药,生物制药,山东,20110520,002581.SZ,20251201,7.79,7.89,7.53,7.87,7.88,-0.01,-0.1269,50105.89,38938.504,1.2502,1.5324,1.79,,,2.7775,14.4063,20.1444,0.0,,65973.5586,40079.1161,32696.8361,519211.9062,315422.6437,8.27,7.49,2.887
002581,未名医药,生物制药,山东,20110520,002581.SZ,20251128,7.92,7.94,7.81,7.88,7.92,-0.04,-0.5051,23839.0,18737.736,0.5948,0.7291,0.68,,,2.781,14.4247,20.17,0.0,,65973.5586,40079.1161,32696.8361,519871.6418,315823.4349,8.32,7.52,2.887
002581,未名医药,生物制药,山东,20110520,002581.SZ,20251127,8.05,8.05,7.9,7.92,8.01,-0.09,-1.1236,27314.0,21687.898,0.6815,0.8354,0.72,,,2.7951,14.4979,20.2724,0.0,,65973.5586,40079.1161,32696.8361,522510.5841,317426.5995,8.41,7.61,2.887
002581,未名医药,生物制药,山东,20110520,002581.SZ,20251126,7.97,8.2,7.96,8.01,7.98,0.03,0.3759,36871.0,29767.599,0.92,1.1277,0.98,,,2.8269,14.6626,20.5028,0.0,,65973.5586,40079.1161,32696.8361,528448.2044,321033.72,8.38,7.58,2.887
002581,未名医药,生物制药,山东,20110520,002581.SZ,20251125,7.91,8.03,7.85,7.98,7.94,0.04,0.5038,24178.0,19261.787,0.6033,0.7395,0.57,,,2.8163,14.6077,20.426,0.0,,65973.5586,40079.1161,32696.8361,526468.9976,319831.3465,8.34,7.54,2.887
002581,未名医药,生物制药,山东,20110520,002581.SZ,20251124,7.89,7.98,7.79,7.94,7.81,0.13,1.6645,27842.52,21965.476,0.6947,0.8515,0.57,,,2.8022,14.5345,20.3236,0.0,,65973.5586,40079.1161,32696.8361,523830.0553,318228.1818,8.2,7.42,2.887
