股票代码,名称,所属行业,地域,上市日期,TS代码,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,涨跌额,涨跌幅(%),成交量(手),成交额(千元),换手率(%),换手率(自由流通股),量比,市盈率,"市盈率(TTM,亏损的PE为空)",市净率,市销率,市销率(TTM),股息率(%),股息率(TTM)(%),总股本(万股),流通股本(万股),自由流通股本(万股),总市值(万元),流通市值(万元),今日涨停价,今日跌停价
601059,信达证券,证券,北京,20230201,601059.SH,20251119,17.7,18.03,17.68,17.79,17.69,0.1,0.5653,180121.16,321714.4,2.6044,2.6044,1.08,42.2694,31.4715,2.8542,17.5276,14.5678,0.4666,0.416,324300.0,69160.0,69160.0,5769297.0,1230356.4,19.57,16.01
601059,信达证券,证券,北京,20230201,601059.SH,20251118,17.58,17.75,17.5,17.69,17.6,0.09,0.5114,151851.8,267953.327,2.1957,2.1957,0.85,42.0318,31.2946,2.8382,17.4291,14.486,0.4692,0.4183,324300.0,69160.0,69160.0,5736867.0,1223440.4,19.57,16.01
601059,信达证券,证券,北京,20230201,601059.SH,20251117,17.68,17.75,17.51,17.6,17.77,-0.17,-0.9567,148231.05,261313.675,2.1433,2.1433,0.79,41.8179,31.1354,2.8237,17.3404,14.4123,0.4716,0.4205,324300.0,69160.0,69160.0,5707680.0,1217216.0,19.57,16.01
601059,信达证券,证券,北京,20230201,601059.SH,20251114,18.0,18.19,17.77,17.77,18.15,-0.38,-2.0937,141893.75,254928.611,2.0517,2.0517,0.69,42.2218,31.4361,2.851,17.5079,14.5515,0.4671,0.4164,324300.0,69160.0,69160.0,5762811.0,1228973.2,19.57,16.01
601059,信达证券,证券,北京,20230201,601059.SH,20251113,17.8,18.21,17.8,18.15,17.9,0.25,1.3966,141617.03,255160.548,2.0477,2.0477,0.67,43.1247,32.1084,2.912,17.8823,14.8626,0.4573,0.4077,324300.0,69160.0,69160.0,5886045.0,1255254.0,19.57,16.01
601059,信达证券,证券,北京,20230201,601059.SH,20251112,18.37,18.4,17.77,17.9,18.4,-0.5,-2.7174,247792.44,446888.741,3.5829,3.5829,1.3,42.5307,31.6661,2.8719,17.636,14.6579,0.4637,0.4134,324300.0,69160.0,69160.0,5804970.0,1237964.0,19.57,16.01
601059,信达证券,证券,北京,20230201,601059.SH,20251111,18.88,18.89,18.4,18.4,18.87,-0.47,-2.4907,214921.57,398983.163,3.1076,3.1076,1.14,43.7187,32.5506,2.9521,18.1286,15.0674,0.4511,0.4022,324300.0,69160.0,69160.0,5967120.0,1272544.0,19.57,16.01
601059,信达证券,证券,北京,20230201,601059.SH,20251110,18.78,18.95,18.65,18.87,18.81,0.06,0.319,188355.36,354011.113,2.7235,2.7235,0.9,44.8355,33.3821,3.0275,18.5917,15.4522,0.4399,0.3922,324300.0,69160.0,69160.0,6119541.0,1305049.2,19.57,16.01
601059,信达证券,证券,北京,20230201,601059.SH,20251107,18.55,19.05,18.54,18.81,18.71,0.1,0.5345,237257.33,445149.699,3.4306,3.4306,1.02,44.6929,33.2759,3.0179,18.5326,15.4031,0.4413,0.3934,324300.0,69160.0,69160.0,6100083.0,1300899.6,19.57,16.01
601059,信达证券,证券,北京,20230201,601059.SH,20251106,18.72,18.86,18.6,18.71,18.63,0.08,0.4294,166105.57,310992.661,2.4018,2.4018,0.59,44.4553,33.099,3.0018,18.434,15.3212,0.4436,0.3955,324300.0,69160.0,69160.0,6067653.0,1293983.6,19.57,16.01
601059,信达证券,证券,北京,20230201,601059.SH,20251105,18.42,18.74,18.42,18.63,18.68,-0.05,-0.2677,147259.74,274758.659,2.1293,2.1293,0.4,44.2652,32.9575,2.989,18.3552,15.2557,0.4455,0.3972,324300.0,69160.0,69160.0,6041709.0,1288450.8,19.57,16.01
601059,信达证券,证券,北京,20230201,601059.SH,20251104,18.8,18.83,18.55,18.68,18.87,-0.19,-1.0069,199611.43,372789.136,2.8862,2.8862,0.47,44.384,33.046,2.997,18.4045,15.2967,0.4443,0.3961,324300.0,69160.0,69160.0,6057924.0,1291908.8,19.57,16.01
601059,信达证券,证券,北京,20230201,601059.SH,20251103,19.02,19.03,18.5,18.87,19.11,-0.24,-1.2559,293886.67,551263.637,4.2494,4.2494,0.61,44.8355,33.3821,3.0275,18.5917,15.4522,0.4399,0.3922,324300.0,69160.0,69160.0,6119541.0,1305049.2,19.46,15.92
601059,信达证券,证券,北京,20230201,601059.SH,20251031,19.63,19.7,19.09,19.11,19.56,-0.45,-2.3006,352198.03,679857.953,5.0925,5.0925,0.76,45.4057,33.8067,3.066,18.8281,15.6488,0.4343,0.3872,324300.0,69160.0,69160.0,6197373.0,1321647.6,19.36,15.84
601059,信达证券,证券,北京,20230201,601059.SH,20251030,20.22,20.25,19.53,19.56,20.34,-0.78,-3.8348,416011.62,821810.823,6.0152,6.0152,0.94,46.4749,34.6027,3.1382,19.2715,16.0173,0.4243,0.3783,324300.0,69160.0,69160.0,6343308.0,1352769.6,19.55,15.99
601059,信达证券,证券,北京,20230201,601059.SH,20251029,19.69,20.42,19.52,20.34,20.27,0.07,0.3453,591343.09,1188656.011,8.5504,8.5504,1.56,48.3282,35.9826,3.2633,20.04,16.656,0.4081,0.3638,324300.0,69160.0,69160.0,6596262.0,1406714.4,19.97,16.34
601059,信达证券,证券,北京,20230201,601059.SH,20251028,19.95,20.57,19.85,20.27,20.03,0.24,1.1982,490816.67,996122.345,7.0968,7.0968,1.32,48.1619,37.0341,3.2841,19.971,17.6097,0.4095,0.3651,324300.0,69160.0,69160.0,6573561.0,1401873.2,19.69,16.11
601059,信达证券,证券,北京,20230201,601059.SH,20251027,19.79,20.15,19.62,20.03,19.5,0.53,2.7179,543363.37,1083058.417,7.8566,7.8566,1.52,47.5916,36.5956,3.2452,19.7346,17.4012,0.4144,0.3694,324300.0,69160.0,69160.0,6495729.0,1385274.8,20.24,16.56
601059,信达证券,证券,北京,20230201,601059.SH,20251024,19.45,19.68,19.35,19.55,19.55,0.0,0.0,279676.0,545087.945,4.0439,4.0439,0.62,46.4512,35.7186,3.1435,19.2617,16.9842,0.4246,0.3274,324300.0,69160.0,69160.0,6340065.0,1352078.0,20.76,16.98
601059,信达证券,证券,北京,20230201,601059.SH,20251023,19.38,19.55,18.91,19.55,19.42,0.13,0.6694,304771.73,585552.161,4.4068,4.4068,0.54,46.4512,35.7186,3.1435,19.2617,16.9842,0.4246,0.3274,324300.0,69160.0,69160.0,6340065.0,1352078.0,20.69,16.93
601059,信达证券,证券,北京,20230201,601059.SH,20251022,19.61,19.64,19.28,19.42,19.75,-0.33,-1.6709,272604.16,528946.752,3.9416,3.9416,0.41,46.1423,35.4811,3.1226,19.1336,16.8712,0.4274,0.3296,324300.0,69160.0,69160.0,6297906.0,1343087.2,20.58,16.84
601059,信达证券,证券,北京,20230201,601059.SH,20251021,19.74,19.97,19.55,19.75,19.91,-0.16,-0.8036,461836.77,911838.502,6.6778,6.6778,0.73,46.9264,36.084,3.1757,19.4587,17.1579,0.4203,0.3241,324300.0,69160.0,69160.0,6404925.0,1365910.0,20.49,16.77
601059,信达证券,证券,北京,20230201,601059.SH,20251020,20.4,20.5,19.76,19.91,20.0,-0.09,-0.45,471670.18,945954.929,6.82,6.82,0.76,47.3065,36.3764,3.2014,19.6163,17.2969,0.4169,0.3214,324300.0,69160.0,69160.0,6456813.0,1376975.6,20.55,16.81
601059,信达证券,证券,北京,20230201,601059.SH,20251017,20.21,20.79,20.0,20.0,20.33,-0.33,-1.6232,748756.21,1522291.589,10.8264,10.8264,1.38,47.5204,36.5408,3.2158,19.705,17.3751,0.415,0.32,324300.0,69160.0,69160.0,6486000.0,1383200.0,20.76,16.98
601059,信达证券,证券,北京,20230201,601059.SH,20251016,19.97,20.84,19.81,20.33,19.91,0.42,2.1095,847977.66,1730316.346,12.2611,12.2611,1.91,48.3044,37.1437,3.2689,20.0302,17.6618,0.4083,0.3148,324300.0,69160.0,69160.0,6593019.0,1406022.8,21.02,17.2
601059,信达证券,证券,北京,20230201,601059.SH,20251015,19.46,20.44,19.4,19.91,19.24,0.67,3.4823,776851.45,1553491.985,11.2327,11.2327,2.16,47.3065,36.3764,3.2014,19.6163,17.2969,0.4169,0.3214,324300.0,69160.0,69160.0,6456813.0,1376975.6,21.52,17.6
601059,信达证券,证券,北京,20230201,601059.SH,20251014,19.48,19.65,19.16,19.24,19.51,-0.27,-1.3839,337998.85,654723.394,4.8872,4.8872,0.82,45.7146,35.1523,3.0936,18.9562,16.7148,0.4314,0.3326,324300.0,69160.0,69160.0,6239532.0,1330638.4,22.37,18.31
601059,信达证券,证券,北京,20230201,601059.SH,20251013,18.79,19.6,18.75,19.51,19.34,0.17,0.879,384756.68,741623.726,5.5633,5.5633,1.02,46.3561,35.6456,3.1371,19.2222,16.9494,0.4254,0.328,324300.0,69160.0,69160.0,6327093.0,1349311.6,22.3,18.24
601059,信达证券,证券,北京,20230201,601059.SH,20251010,19.26,19.65,19.2,19.34,19.36,-0.02,-0.1033,373919.03,728083.852,5.4066,5.4066,1.08,45.9522,35.335,3.1097,19.0548,16.8017,0.4292,0.3309,324300.0,69160.0,69160.0,6271962.0,1337554.4,22.03,18.03
601059,信达证券,证券,北京,20230201,601059.SH,20251009,19.12,19.43,18.93,19.36,19.22,0.14,0.7284,341929.6,657731.41,4.944,4.944,1.02,45.9997,35.3715,3.1129,19.0745,16.8191,0.4287,0.3306,324300.0,69160.0,69160.0,6278448.0,1338937.6,21.45,17.55
601059,信达证券,证券,北京,20230201,601059.SH,20250930,19.26,19.46,19.16,19.22,19.35,-0.13,-0.6718,358907.39,691720.031,5.1895,5.1895,1.08,45.6671,35.1157,3.0904,18.9365,16.6975,0.4318,0.333,324300.0,69160.0,69160.0,6233046.0,1329255.2,21.51,17.6
601059,信达证券,证券,北京,20230201,601059.SH,20250929,18.31,19.64,18.3,19.35,18.37,0.98,5.3348,605826.42,1159296.829,8.7598,8.7598,2.25,45.976,35.3532,3.1113,19.0646,16.8104,0.4289,0.3307,324300.0,69160.0,69160.0,6275205.0,1338246.0,21.36,17.48
601059,信达证券,证券,北京,20230201,601059.SH,20250926,18.53,18.7,18.37,18.37,18.56,-0.19,-1.0237,201994.13,373986.434,2.9207,2.9207,0.68,43.6475,33.5627,2.9538,18.0991,15.959,0.4518,0.3484,324300.0,69160.0,69160.0,5957391.0,1270469.2,21.73,17.78
601059,信达证券,证券,北京,20230201,601059.SH,20250925,18.75,18.87,18.56,18.56,18.8,-0.24,-1.2766,222445.97,416066.879,3.2164,3.2164,0.57,44.0989,33.9099,2.9843,18.2863,16.1241,0.4472,0.3448,324300.0,69160.0,69160.0,6019008.0,1283609.6,21.9,17.92
601059,信达证券,证券,北京,20230201,601059.SH,20250924,18.6,18.91,18.45,18.8,18.67,0.13,0.6963,282999.2,529443.306,4.0919,4.0919,0.58,44.6691,34.3484,3.0229,18.5227,16.3326,0.4415,0.3404,324300.0,69160.0,69160.0,6096840.0,1300208.0,22.0,18.0
601059,信达证券,证券,北京,20230201,601059.SH,20250923,19.0,19.02,18.4,18.67,19.21,-0.54,-2.811,350245.43,654022.326,5.0643,5.0643,0.7,44.3603,34.1108,3.002,18.3946,16.2196,0.4446,0.3428,324300.0,69160.0,69160.0,6054681.0,1291217.2,22.36,18.3
601059,信达证券,证券,北京,20230201,601059.SH,20250922,18.92,19.23,18.8,19.21,18.98,0.23,1.2118,287609.4,547079.519,4.1586,4.1586,0.54,45.6433,35.0974,3.0888,18.9267,16.6888,0.4321,0.3332,324300.0,69160.0,69160.0,6229803.0,1328563.6,21.9,17.92
601059,信达证券,证券,北京,20230201,601059.SH,20250919,19.13,19.26,18.73,18.98,19.19,-0.21,-1.0943,345220.71,654274.013,4.9916,4.9916,0.63,45.0968,34.6772,3.0518,18.7001,16.489,0.4373,0.3372,324300.0,69160.0,69160.0,6155214.0,1312656.8,21.16,17.32
601059,信达证券,证券,北京,20230201,601059.SH,20250918,19.82,19.84,18.95,19.19,20.05,-0.86,-4.2893,685015.92,1331222.295,9.9048,9.9048,1.3,45.5958,35.0609,3.0856,18.907,16.6714,0.4325,0.3335,324300.0,69160.0,69160.0,6223317.0,1327180.4,21.46,17.56
