股票代码,名称,所属行业,地域,上市日期,TS代码,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,涨跌额,涨跌幅(%),成交量(手),成交额(千元),换手率(%),换手率(自由流通股),量比,市盈率,"市盈率(TTM,亏损的PE为空)",市净率,市销率,市销率(TTM),股息率(%),股息率(TTM)(%),总股本(万股),流通股本(万股),自由流通股本(万股),总市值(万元),流通市值(万元),今日涨停价,今日跌停价,复权因子
603501,韦尔股份,半导体,上海,20170504,603501.SH,20251205,119.6,120.1,118.6,119.98,119.5,0.48,0.4017,87749.3,1048398.206,0.7256,1.0944,0.88,43.6635,34.8963,5.3757,5.6394,5.0727,0.2809,0.5146,120940.4099,120940.4099,80179.9187,14510430.3798,14510430.3798,131.45,107.55,1.3761
603501,韦尔股份,半导体,上海,20170504,603501.SH,20251204,119.02,119.85,117.7,119.5,119.15,0.35,0.2937,71233.35,846562.933,0.589,0.8884,0.59,43.4888,34.7567,5.3542,5.6168,5.0524,0.282,0.5166,120940.4099,120940.4099,80179.9187,14452378.9831,14452378.9831,131.07,107.24,1.3761
603501,韦尔股份,半导体,上海,20170504,603501.SH,20251203,121.1,121.1,118.61,119.15,121.08,-1.93,-1.594,98927.47,1182979.425,0.818,1.2338,0.81,43.3614,34.6549,5.3385,5.6003,5.0376,0.2828,0.5181,120940.4099,120940.4099,80179.9187,14410049.8396,14410049.8396,133.19,108.97,1.3761
603501,韦尔股份,半导体,上海,20170504,603501.SH,20251202,121.7,123.4,120.48,121.08,121.3,-0.22,-0.1814,120435.68,1467085.447,0.9958,1.5021,1.0,44.0638,35.2162,5.425,5.6911,5.1192,0.2783,0.5099,120940.4099,120940.4099,80179.9187,14643464.8307,14643464.8307,133.43,109.17,1.3761
603501,韦尔股份,半导体,上海,20170504,603501.SH,20251201,120.0,121.31,119.02,121.3,119.47,1.83,1.5318,112209.24,1351338.014,0.9278,1.3995,0.96,44.1438,35.2802,5.4349,5.7014,5.1285,0.2778,0.509,120940.4099,120940.4099,80179.9187,14670071.7209,14670071.7209,131.42,107.52,1.3761
603501,韦尔股份,半导体,上海,20170504,603501.SH,20251128,119.0,119.8,117.6,119.47,119.15,0.32,0.2686,95052.05,1130411.207,0.7859,1.1855,0.77,43.4779,34.748,5.3529,5.6154,5.0511,0.2821,0.5168,120940.4099,120940.4099,80179.9187,14448750.7708,14448750.7708,131.07,107.24,1.3761
603501,韦尔股份,半导体,上海,20170504,603501.SH,20251127,117.26,121.25,117.0,119.15,116.91,2.24,1.916,175393.89,2096246.187,1.4503,2.1875,1.65,43.3614,34.6549,5.3385,5.6003,5.0376,0.2828,0.5181,120940.4099,120940.4099,80179.9187,14410049.8396,14410049.8396,128.6,105.22,1.3761
603501,韦尔股份,半导体,上海,20170504,603501.SH,20251126,116.4,117.85,115.67,116.91,117.06,-0.15,-0.1281,109225.19,1276876.694,0.9031,1.3623,1.04,42.5462,34.0034,5.2382,5.4951,4.9429,0.2883,0.5281,120940.4099,120940.4099,80179.9187,14139143.3214,14139143.3214,128.77,105.35,1.3761
603501,韦尔股份,半导体,上海,20170504,603501.SH,20251125,117.39,118.79,116.78,117.06,116.81,0.25,0.214,107461.18,1265446.513,0.8885,1.3403,1.03,42.6008,34.047,5.2449,5.5021,4.9493,0.2879,0.5274,120940.4099,120940.4099,80179.9187,14157284.3829,14157284.3829,128.49,105.13,1.3761
603501,韦尔股份,半导体,上海,20170504,603501.SH,20251124,116.62,117.15,115.32,116.81,115.52,1.29,1.1167,96532.0,1122754.22,0.7982,1.2039,0.95,42.5098,33.9743,5.2337,5.4904,4.9387,0.2885,0.5285,120940.4099,120940.4099,80179.9187,14127049.2804,14127049.2804,127.07,103.97,1.3761
603501,韦尔股份,半导体,上海,20170504,603501.SH,20251121,117.0,117.99,115.5,115.92,118.55,-2.63,-2.2185,129298.29,1506599.868,1.0691,1.6126,1.31,42.1859,33.7154,5.1027,5.4485,4.9011,0.2907,0.3598,120940.4099,120940.4099,80179.9187,14019412.3156,14019412.3156,130.41,106.7,1.3714
603501,韦尔股份,半导体,上海,20170504,603501.SH,20251120,121.0,121.5,118.53,118.55,120.0,-1.45,-1.2083,90573.26,1081332.628,0.7489,1.1296,0.88,43.1431,34.4804,5.2184,5.5721,5.0123,0.2843,0.3518,120940.4099,120940.4099,80179.9187,14337485.5936,14337485.5936,132.0,108.0,1.3714
603501,韦尔股份,半导体,上海,20170504,603501.SH,20251119,122.3,122.64,119.75,120.0,122.3,-2.3,-1.8806,99181.81,1198191.804,0.8201,1.237,0.97,43.6707,34.9021,5.2823,5.6403,5.0736,0.2808,0.3476,120940.4099,120940.4099,80179.9187,14512849.188,14512849.188,134.53,110.07,1.3714
603501,韦尔股份,半导体,上海,20170504,603501.SH,20251118,121.33,123.65,120.8,122.3,121.32,0.98,0.8078,107173.62,1313977.808,0.8862,1.3367,1.0,44.5078,35.5711,5.3835,5.7484,5.1708,0.2756,0.341,120940.4099,120940.4099,80179.9187,14791012.1308,14791012.1308,133.45,109.19,1.3714
603501,韦尔股份,半导体,上海,20170504,603501.SH,20251117,122.12,122.91,120.83,121.32,121.76,-0.44,-0.3614,80880.38,984886.856,0.6704,1.0126,0.71,44.0408,35.1979,5.327,5.6881,5.1165,0.2785,0.3447,120638.2412,120638.2412,79877.75,14635831.4224,14635831.4224,133.94,109.58,1.3714
603501,韦尔股份,半导体,上海,20170504,603501.SH,20251114,122.8,123.55,121.72,121.76,124.27,-2.51,-2.0198,114169.65,1398738.214,0.9464,1.4293,1.04,44.2005,35.3255,5.3463,5.7087,5.1351,0.2775,0.3434,120638.2412,120638.2412,79877.75,14688912.2485,14688912.2485,136.7,111.84,1.3714
603501,韦尔股份,半导体,上海,20170504,603501.SH,20251113,124.15,124.88,123.48,124.27,124.09,0.18,0.1451,111799.64,1389133.548,0.9267,1.3996,1.02,45.1117,36.0537,5.4565,5.8264,5.241,0.2719,0.3365,120638.2412,120638.2412,79877.75,14991714.2339,14991714.2339,136.5,111.68,1.3714
