股票代码,名称,所属行业,地域,上市日期,TS代码,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,涨跌额,涨跌幅(%),成交量(手),成交额(千元),今日涨停价,今日跌停价
920023,田野股份,食品,广西,20230202,920023.BJ,20251205,4.12,4.18,4.07,4.16,4.1,0.06,1.4634,47818.02,19731.293,5.33,2.87
920023,田野股份,食品,广西,20230202,920023.BJ,20251204,4.21,4.23,4.09,4.1,4.21,-0.11,-2.6128,56597.87,23422.801,5.47,2.95
920023,田野股份,食品,广西,20230202,920023.BJ,20251203,4.28,4.31,4.2,4.21,4.28,-0.07,-1.6355,47503.41,20155.986,5.56,3.0
920023,田野股份,食品,广西,20230202,920023.BJ,20251202,4.33,4.36,4.27,4.28,4.34,-0.06,-1.3825,57260.82,24623.472,5.64,3.04
920023,田野股份,食品,广西,20230202,920023.BJ,20251201,4.29,4.35,4.28,4.34,4.31,0.03,0.6961,49521.72,21392.327,5.6,3.02
920023,田野股份,食品,广西,20230202,920023.BJ,20251128,4.27,4.33,4.24,4.31,4.26,0.05,1.1737,52440.8,22493.838,5.53,2.99
920023,田野股份,食品,广西,20230202,920023.BJ,20251127,4.25,4.29,4.22,4.26,4.28,-0.02,-0.4673,49027.22,20873.005,5.56,3.0
920023,田野股份,食品,广西,20230202,920023.BJ,20251126,4.32,4.35,4.26,4.28,4.3,-0.02,-0.4651,44742.89,19253.175,5.59,3.01
920023,田野股份,食品,广西,20230202,920023.BJ,20251125,4.27,4.34,4.25,4.3,4.24,0.06,1.4151,48953.56,21017.037,5.51,2.97
920023,田野股份,食品,广西,20230202,920023.BJ,20251124,4.24,4.28,4.18,4.24,4.25,-0.01,-0.2353,82480.38,34820.477,5.52,2.98
920023,田野股份,食品,广西,20230202,920023.BJ,20251121,4.34,4.48,4.24,4.25,4.36,-0.11,-2.5229,123564.21,54039.946,5.66,3.06
920023,田野股份,食品,广西,20230202,920023.BJ,20251120,4.38,4.41,4.33,4.36,4.35,0.01,0.2299,68524.25,29945.712,5.65,3.05
920023,田野股份,食品,广西,20230202,920023.BJ,20251119,4.47,4.5,4.32,4.35,4.46,-0.11,-2.4664,104801.75,46040.222,5.79,3.13
920023,田野股份,食品,广西,20230202,920023.BJ,20251118,4.56,4.62,4.44,4.46,4.56,-0.1,-2.193,97898.38,44218.878,5.92,3.2
920023,田野股份,食品,广西,20230202,920023.BJ,20251117,4.66,4.67,4.54,4.56,4.66,-0.1,-2.1459,90219.41,41466.845,6.05,3.27
920023,田野股份,食品,广西,20230202,920023.BJ,20251114,4.63,4.77,4.63,4.66,4.68,-0.02,-0.4274,109747.33,51517.138,6.08,3.28
920023,田野股份,食品,广西,20230202,920023.BJ,20251113,4.74,4.76,4.66,4.68,4.68,0.0,0.0,116489.77,54700.282,6.08,3.28
920023,田野股份,食品,广西,20230202,920023.BJ,20251112,4.71,4.85,4.66,4.68,4.74,-0.06,-1.2658,174725.21,82644.104,6.16,3.32
920023,田野股份,食品,广西,20230202,920023.BJ,20251111,4.61,4.79,4.55,4.74,4.65,0.09,1.9355,194150.4,90587.454,6.04,3.26
920023,田野股份,食品,广西,20230202,920023.BJ,20251110,4.54,4.75,4.47,4.65,4.58,0.07,1.5284,207594.45,96256.484,5.95,3.21
920023,田野股份,食品,广西,20230202,920023.BJ,20251107,4.6,4.8,4.57,4.58,4.53,0.05,1.1038,209985.49,98183.11,5.88,3.18
920023,田野股份,食品,广西,20230202,920023.BJ,20251106,4.56,4.63,4.48,4.53,4.62,-0.09,-1.9481,146750.02,66491.602,6.0,3.24
920023,田野股份,食品,广西,20230202,920023.BJ,20251105,4.4,4.73,4.36,4.62,4.41,0.21,4.7619,256462.62,117978.627,5.73,3.09
920023,田野股份,食品,广西,20230202,920023.BJ,20251104,4.46,4.48,4.38,4.41,4.46,-0.05,-1.1211,68696.18,30302.169,5.79,3.13
920023,田野股份,食品,广西,20230202,920023.BJ,20251103,4.43,4.54,4.38,4.46,4.5,-0.04,-0.8889,116541.17,52066.785,5.85,3.15
920023,田野股份,食品,广西,20230202,920023.BJ,20251031,4.42,4.52,4.38,4.5,4.4,0.1,2.2727,109910.07,49304.416,5.72,3.08
920023,田野股份,食品,广西,20230202,920023.BJ,20251030,4.47,4.57,4.38,4.4,4.47,-0.07,-1.566,154985.85,69807.487,5.81,3.13
920023,田野股份,食品,广西,20230202,920023.BJ,20251029,4.3,4.5,4.2,4.47,4.29,0.18,4.1958,157950.25,68809.967,5.57,3.01
920023,田野股份,食品,广西,20230202,920023.BJ,20251028,4.34,4.36,4.28,4.29,4.32,-0.03,-0.6944,53349.15,22976.633,5.61,3.03
920023,田野股份,食品,广西,20230202,920023.BJ,20251027,4.33,4.34,4.3,4.32,4.31,0.01,0.232,35604.12,15372.028,5.6,3.02
920023,田野股份,食品,广西,20230202,920023.BJ,20251024,4.35,4.39,4.3,4.31,4.34,-0.03,-0.6912,61880.37,26852.78,5.64,3.04
920023,田野股份,食品,广西,20230202,920023.BJ,20251023,4.35,4.36,4.31,4.34,4.35,-0.01,-0.2299,42048.73,18218.972,5.65,3.05
920023,田野股份,食品,广西,20230202,920023.BJ,20251022,4.35,4.42,4.33,4.35,4.37,-0.02,-0.4577,64442.96,28188.646,5.68,3.06
920023,田野股份,食品,广西,20230202,920023.BJ,20251021,4.28,4.38,4.22,4.37,4.27,0.1,2.3419,78737.61,33991.067,5.55,2.99
920023,田野股份,食品,广西,20230202,920023.BJ,20251020,4.25,4.31,4.23,4.27,4.22,0.05,1.1848,43283.58,18480.152,5.48,2.96
920023,田野股份,食品,广西,20230202,920023.BJ,20251017,4.33,4.33,4.2,4.22,4.31,-0.09,-2.0882,66610.52,28504.543,5.6,3.02
920023,田野股份,食品,广西,20230202,920023.BJ,20251016,4.33,4.38,4.3,4.31,4.33,-0.02,-0.4619,48337.88,20934.586,5.62,3.04
920023,田野股份,食品,广西,20230202,920023.BJ,20251015,4.34,4.35,4.29,4.33,4.33,0.0,0.0,49955.17,21601.9,5.62,3.04
