股票代码,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,涨跌额,涨跌幅(%),成交量(手),成交额(万元),当日总市值(十万元),当日流通市值(十万元),当日总股本(万股),当日流通股本(万股),当日自由流通股本(万股),换手率(%),换手率(自由流通股),市盈率,市盈率(TTM),市净率
000016.SH,20251205,2970.62,3010.7174,2969.0856,3002.0087,2974.3371,27.6716,0.93%,44603491.0,11044729.54,310271308.65,233330874.43,219063406.73,169699976.78,38484809.49,0.26,1.16,12.43,11.86,1.3
000016.SH,20251204,2968.5557,2980.2368,2958.6065,2974.3371,2963.0763,11.2608,0.38%,36282556.0,8862245.79,309230590.03,232523630.43,219063554.0,169700124.05,38484956.76,0.21,0.94,12.39,11.82,1.29
000016.SH,20251203,2976.1129,2983.6125,2957.794,2963.0763,2978.4671,-15.3908,-0.52%,38519732.0,8549499.35,308844161.13,232184169.72,219062739.36,169700124.05,38483948.49,0.23,1.0,12.38,11.8,1.28
000016.SH,20251202,2992.3844,2994.7147,2970.9507,2978.4671,2993.6761,-15.209,-0.51%,33481828.0,7916610.97,310936556.15,233621090.47,219062739.06,169700123.75,38483948.19,0.2,0.87,12.46,11.88,1.3
000016.SH,20251201,2975.2716,2994.4534,2972.7914,2993.6761,2969.6171,24.059,0.81%,46519461.0,11281293.72,311401595.06,234061216.52,219062728.3,169700123.75,38483948.19,0.27,1.21,12.48,11.9,1.3
000016.SH,20251128,2969.2279,2973.3161,2954.7148,2969.6171,2972.2651,-2.648,-0.09%,37274314.0,8503149.96,309727891.26,232621599.98,219062726.58,169700123.75,38483948.19,0.22,0.97,12.41,11.83,1.29
000016.SH,20251127,2976.0775,2988.1998,2965.5458,2972.2651,2971.7985,0.4666,0.02%,39287797.0,10510612.74,310991350.42,233431836.67,219062726.58,169700123.75,38483948.19,0.23,1.02,12.46,11.88,1.3
000016.SH,20251126,2969.7762,2979.9805,2968.0212,2971.7985,2968.2023,3.5962,0.12%,40057977.0,9725776.34,310044851.87,232496685.77,219062726.58,169700123.75,38482901.87,0.24,1.04,12.42,11.85,1.3
000016.SH,20251125,2963.6888,2974.7651,2952.3493,2968.2023,2950.562,17.6403,0.60%,42405177.0,9803209.18,311303295.8,233473872.93,219053818.34,169700123.75,38482943.46,0.25,1.1,12.47,11.89,1.3
000016.SH,20251124,2967.1642,2970.2046,2942.288,2950.562,2955.8541,-5.2921,-0.18%,50801706.0,11027057.18,309289839.22,232070621.8,219053818.34,169700123.75,38482943.46,0.3,1.32,12.39,11.82,1.29
