股票代码,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,涨跌额,涨跌幅(%),成交量(手),成交额(万元),当日总市值(十万元),当日流通市值(十万元),当日总股本(万股),当日流通股本(万股),当日自由流通股本(万股),换手率(%),换手率(自由流通股),市盈率,市盈率(TTM),市净率
000001.SH,20251205,3873.1207,3907.7816,3863.3137,3902.8076,3875.7933,27.0143,0.70%,500368768.0,71674244.89,748861596.98,590060976.7,584781489.01,470394130.5,180546213.03,1.05,2.73,16.96,16.33,1.47
000001.SH,20251204,3879.7417,3888.8595,3859.0491,3875.7933,3877.9996,-2.2063,-0.06%,445040290.0,62371257.15,743977484.43,585882446.08,584729945.79,470377938.91,180531828.78,0.93,2.43,16.85,16.22,1.46
000001.SH,20251203,3894.1556,3901.696,3869.9528,3877.9996,3897.7116,-19.712,-0.51%,485617270.0,64716652.82,744052087.54,586191369.32,584727242.01,470376039.99,180526373.5,1.01,2.64,16.85,16.22,1.44
000001.SH,20251202,3908.4559,3908.7688,3888.3275,3897.7116,3914.0061,-16.2945,-0.42%,455584494.0,62744067.25,748224652.7,589045753.26,584719573.98,470368670.42,180516595.19,0.95,2.47,16.94,16.31,1.47
000001.SH,20251201,3894.2132,3914.4644,3890.9485,3914.0061,3888.5962,25.4099,0.65%,537554133.0,78565834.19,750971056.38,591338608.72,584617870.3,470361127.23,180504102.25,1.12,2.93,17.01,16.37,1.48
000001.SH,20251128,3870.9438,3888.8885,3856.25,3888.5962,3875.2594,13.3368,0.34%,449931973.0,64575581.51,746177040.0,587066197.68,584571683.57,470133345.25,180407721.56,0.94,2.46,16.9,16.27,1.47
000001.SH,20251127,3867.1971,3895.5892,3864.1311,3875.2594,3864.1844,11.075,0.29%,444021947.0,69851910.72,744564901.29,585109433.7,584564940.62,470118508.91,180414873.71,0.93,2.42,16.86,16.24,1.47
000001.SH,20251126,3867.429,3879.9231,3861.1769,3864.1844,3870.0228,-5.8384,-0.15%,457589755.0,70101987.25,742524453.15,583382837.8,584494326.23,470109176.15,180405627.94,0.96,2.5,16.82,16.19,1.46
000001.SH,20251125,3850.571,3882.0299,3845.1383,3870.0228,3836.7655,33.2573,0.87%,478727611.0,72278878.28,744025545.27,584165665.69,584485333.24,470100230.85,180390827.07,1.01,2.62,16.85,16.22,1.47
000001.SH,20251124,3848.6565,3854.3305,3816.5757,3836.7655,3834.8908,1.8747,0.05%,504601716.0,71553924.74,737803209.19,579209534.85,584485177.02,470100054.72,180390142.7,1.06,2.76,16.71,16.09,1.45
000001.SH,20251121,3896.6646,3912.0063,3834.749,3834.8908,3931.0512,-96.1604,-2.45%,631646251.0,82493113.48,738366922.08,579026277.14,584490865.77,470016122.77,180390082.99,1.32,3.45,16.72,16.1,1.46
000001.SH,20251120,3960.6993,3967.971,3927.5124,3931.0512,3946.7424,-15.6912,-0.40%,534749540.0,71134128.4,755082216.22,593500667.19,584471475.07,469994394.18,180359878.44,1.12,2.92,17.1,16.46,1.49
000001.SH,20251119,3937.9198,3960.0518,3930.0745,3946.7424,3939.8131,6.9293,0.18%,531149601.0,72090875.92,756608941.8,595967159.76,584422875.7,469963939.42,180342114.34,1.11,2.89,17.14,16.5,1.49
000001.SH,20251118,3962.4437,3966.8854,3926.5885,3939.8131,3972.0348,-32.2217,-0.81%,594411046.0,79094859.84,754180564.53,594796427.72,584423063.74,469964119.8,180334774.71,1.24,3.24,17.08,16.45,1.49
000001.SH,20251117,3988.5564,3992.4041,3958.9484,3972.0348,3990.4921,-18.4573,-0.46%,592017950.0,80573312.57,759578072.75,599639286.38,584431256.3,469954848.53,180371991.8,1.24,3.23,17.2,16.56,1.5
000001.SH,20251114,4007.1258,4034.0786,3990.3074,3990.4921,4029.5012,-39.0091,-0.97%,622017118.0,83796950.22,763146838.79,602163454.2,583960861.17,469587516.92,180264091.21,1.31,3.4,17.29,16.64,1.5
000001.SH,20251113,3996.5143,4030.3983,3994.7712,4029.5012,4000.1396,29.3616,0.73%,613031061.0,87640092.36,770000223.29,608196555.16,583961646.51,469585304.51,180261820.54,1.29,3.35,17.44,16.79,1.52
000001.SH,20251112,3996.5648,4020.3775,3980.6756,4000.1396,4002.7576,-2.618,-0.07%,586193228.0,84046720.99,765255964.52,603773555.01,583960983.81,469579196.06,180222984.55,1.23,3.21,17.33,16.7,1.51
000001.SH,20251111,4023.877,4024.939,3991.5156,4002.7576,4018.5972,-15.8396,-0.39%,581994921.0,85836214.26,764378175.95,604032277.46,583952865.52,469571900.81,180212448.06,1.22,3.18,17.31,16.68,1.51
000001.SH,20251110,4001.7939,4018.6958,3990.8359,4018.5972,3997.5557,21.0415,0.53%,634049993.0,96058864.58,767299733.53,606532697.95,583973007.21,469578992.52,180210770.25,1.33,3.47,17.38,16.74,1.51
000001.SH,20251107,3994.3167,4012.0054,3993.691,3997.5557,4007.7599,-10.2042,-0.25%,596507034.0,87548674.64,763035100.61,603195330.25,583938457.42,469497151.17,180203549.58,1.25,3.26,17.28,16.65,1.5
000001.SH,20251106,3973.3493,4008.7991,3973.3493,4007.7599,3969.2483,38.5116,0.97%,627367547.0,93027555.44,765071055.4,604734128.58,583914524.35,469485794.72,180198694.48,1.32,3.43,17.33,16.69,1.51
000001.SH,20251105,3922.5844,3979.7537,3922.5844,3969.2483,3960.186,9.0623,0.23%,614991618.0,82713357.69,757861877.9,598860655.87,583903326.35,469481481.03,180183206.19,1.29,3.36,17.17,16.53,1.49
000001.SH,20251104,3973.4575,3985.8822,3938.5197,3960.186,3976.5207,-16.3347,-0.41%,615493792.0,85293836.84,757012169.89,597497698.15,583903383.43,469481263.39,180125369.58,1.29,3.37,17.15,16.52,1.49
000001.SH,20251103,3954.0783,3977.3051,3937.0215,3976.5207,3954.79,21.7307,0.55%,641245945.0,94170369.93,758873459.81,599936080.23,583903597.66,469481527.13,180092903.47,1.35,3.52,17.19,16.56,1.5
000001.SH,20251031,3985.0641,3986.7433,3951.7308,3954.79,3986.9008,-32.1108,-0.81%,675615406.0,103110461.68,754224912.73,596703905.54,583902653.53,469481688.79,180088681.5,1.42,3.7,17.08,16.45,1.49
000001.SH,20251030,4007.8207,4025.7048,3984.8284,3986.9008,4016.331,-29.4302,-0.73%,668485609.0,107005858.94,760428899.24,601695215.0,583900779.91,469474351.27,180332683.05,1.4,3.65,17.22,16.81,1.52
000001.SH,20251029,3990.2655,4016.331,3986.9414,4016.331,3988.2239,28.1071,0.70%,612917466.0,96821571.33,765599094.11,606151400.7,583900800.11,469469279.28,180402934.69,1.29,3.35,17.34,16.96,1.54
000001.SH,20251028,3986.8912,4010.7275,3976.8326,3988.2239,3996.9445,-8.7206,-0.22%,577357684.0,94076086.45,761091385.1,601845164.78,583793493.85,469462064.98,180408302.32,1.21,3.15,17.24,17.0,1.53
000001.SH,20251027,3969.2197,3999.0667,3963.1017,3996.9445,3950.3115,46.633,1.18%,637589545.0,104340404.32,763084868.23,603089068.58,583776613.0,469451650.35,180547334.57,1.34,3.48,17.29,17.09,1.54
000001.SH,20251024,3929.115,3950.3115,3928.9598,3950.3115,3922.4101,27.9014,0.71%,567858443.0,85849125.32,754488067.41,595775096.82,583712335.68,469223483.4,180568157.39,1.19,3.1,17.09,16.95,1.52
000001.SH,20251023,3904.159,3926.2171,3877.5294,3922.4101,3913.7576,8.6525,0.22%,565189264.0,71893105.2,749414108.32,591689633.83,583639302.89,469218104.46,180556467.47,1.19,3.08,16.98,16.85,1.51
000001.SH,20251022,3896.0736,3918.5924,3893.325,3913.7576,3916.3322,-2.5746,-0.07%,543117344.0,74152479.84,747420507.36,590376431.18,583605851.55,469188990.04,180532897.41,1.14,2.97,16.93,16.81,1.51
000001.SH,20251021,3870.7488,3919.3183,3868.1453,3916.3322,3863.8926,52.4396,1.36%,599415713.0,83793839.83,746948721.14,590704670.72,583598725.35,469179403.86,180516893.19,1.26,3.28,16.92,16.79,1.51
000001.SH,20251020,3865.5523,3877.7215,3850.3673,3863.8926,3839.7553,24.1373,0.63%,549261712.0,77250321.96,737960068.41,582790213.33,583603191.75,469185462.72,180521271.73,1.16,3.0,16.72,16.59,1.49
000001.SH,20251017,3912.0403,3921.0648,3835.3648,3839.7553,3916.228,-76.4727,-1.95%,617563018.0,87318159.79,733408089.36,578863610.05,583562447.92,469116769.89,180393690.69,1.3,3.37,16.62,16.51,1.48
000001.SH,20251016,3900.6834,3931.05,3899.1673,3916.228,3912.2095,4.0185,0.10%,595451491.0,86926458.05,746832057.86,590230312.85,583440020.94,469060277.93,180323762.01,1.26,3.27,16.92,16.82,1.51
000001.SH,20251015,3867.5364,3912.2912,3857.6668,3912.2095,3865.2289,46.9806,1.22%,645012955.0,96155216.56,744927964.11,589568780.82,583439372.31,469059884.42,180304642.41,1.36,3.54,16.88,16.78,1.51
000001.SH,20251014,3910.7825,3918.4357,3851.1209,3865.2289,3889.5022,-24.2733,-0.62%,800839631.0,120998382.77,736633135.22,582345913.53,583439679.28,469029331.82,180286504.82,1.69,4.4,16.69,16.59,1.49
000001.SH,20251013,3800.1055,3895.83,3800.1055,3889.5022,3897.0281,-7.5259,-0.19%,709506101.0,108541359.13,740011811.61,585755194.49,583389213.55,468986211.02,180274811.98,1.5,3.89,16.76,16.67,1.5
000001.SH,20251010,3915.4752,3933.0053,3886.305,3897.0281,3933.9724,-36.9443,-0.94%,718917673.0,113212715.17,740889531.35,586960199.85,583568094.92,469118760.48,180375725.84,1.52,3.94,16.79,16.69,1.5
000001.SH,20251009,3898.307,3936.5761,3885.7437,3933.9724,3882.7774,51.195,1.32%,725218501.0,121688871.61,747288112.57,592009498.21,583458812.92,468997497.48,180262345.9,1.53,3.98,16.93,16.83,1.51
000001.SH,20250930,3869.7046,3887.57,3866.2808,3882.7774,3862.5317,20.2457,0.52%,569734631.0,97327495.16,737977212.74,584033236.62,583450141.26,468938157.72,180246255.32,1.2,3.13,16.72,16.62,1.49
000001.SH,20250929,3828.1656,3881.0023,3809.5352,3862.5317,3828.106,34.4257,0.90%,608466399.0,96821239.76,734345727.71,581026970.14,583381671.17,468921741.71,180229373.92,1.28,3.34,16.64,16.54,1.48
000001.SH,20250926,3839.8553,3856.6062,3828.106,3828.106,3853.3021,-25.1961,-0.65%,551275335.0,92786490.34,728321573.47,575432346.33,583367756.3,468508833.89,180094897.82,1.16,3.02,16.5,16.41,1.47
000001.SH,20250925,3852.431,3866.1058,3840.459,3853.3021,3853.6422,-0.3401,-0.01%,589950531.0,100121136.91,732776607.11,579054025.62,583367669.28,468410527.74,180090272.49,1.24,3.23,16.6,16.51,1.48
000001.SH,20250924,3804.4833,3854.923,3804.3279,3853.6422,3821.8327,31.8095,0.83%,602056670.0,101570787.05,732828922.0,579078096.0,583367728.66,468410545.52,180090524.84,1.27,3.3,16.6,16.51,1.48
000001.SH,20250923,3830.1379,3838.6059,3774.5282,3821.8327,3828.5764,-6.7437,-0.18%,701902868.0,107169782.61,727184531.05,574440288.77,583291697.78,468372133.56,180052600.03,1.48,3.85,16.48,16.38,1.47
000001.SH,20250922,3822.0096,3831.7404,3806.2016,3828.5764,3820.0894,8.487,0.22%,568325686.0,94179998.21,727222865.96,575406030.05,583290429.62,468359204.6,180052549.3,1.2,3.12,16.48,16.38,1.47
000001.SH,20250919,3830.4437,3843.1696,3811.9029,3820.0894,3831.6562,-11.5668,-0.30%,682292613.0,101634831.07,726418316.52,574038875.49,583283090.76,468351274.16,180059542.46,1.44,3.74,16.46,16.37,1.47
000001.SH,20250918,3876.0592,3899.9594,3800.9953,3831.6562,3876.3409,-44.6847,-1.15%,876027389.0,136596242.36,727977437.33,575683257.5,583283175.59,468315743.93,179998431.14,1.85,4.8,16.5,16.4,1.47
000001.SH,20250917,3854.0726,3882.6687,3848.9455,3876.3409,3861.8651,14.4758,0.37%,663434713.0,100667908.09,737050281.4,582366485.96,583283052.44,468280693.57,179986615.72,1.39,3.62,16.7,16.61,1.49
000001.SH,20250916,3865.9801,3876.6901,3838.6483,3861.8651,3860.5036,1.3615,0.04%,673439723.0,98978613.79,734153481.62,580310648.14,583283458.57,468274510.85,179983142.32,1.42,3.7,16.64,16.54,1.48
000001.SH,20250915,3876.0974,3879.7365,3855.9725,3860.5036,3870.5984,-10.0948,-0.26%,644793944.0,98617199.39,734218854.71,578985366.75,583268067.18,467953655.67,179658562.31,1.36,3.55,16.64,16.54,1.49
000001.SH,20250912,3875.5072,3892.7375,3866.5388,3870.5984,3875.3094,-4.711,-0.12%,700641784.0,109380730.07,735645841.0,580201094.97,582972181.85,467646047.09,179393131.6,1.48,3.85,16.68,16.58,1.49
