股票代码,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,涨跌额,涨跌幅(%),成交量(手),成交额(万元),当日总市值(十万元),当日流通市值(十万元),当日总股本(万股),当日流通股本(万股),当日自由流通股本(万股),换手率(%),换手率(自由流通股),市盈率,市盈率(TTM),市净率
000905.SH,20251205,7008.6492,7104.0208,6965.8064,7097.8389,7012.8061,85.0328,1.21%,168738274.0,27510839.97,166209934.24,146743595.16,125935195.41,113688066.17,57325462.15,1.48,2.94,35.42,32.35,2.21
000905.SH,20251204,7001.6423,7039.7157,6958.6322,7012.8061,6996.3552,16.4509,0.24%,141038338.0,23991256.0,164071234.69,145023110.5,125925690.2,113688785.63,57326181.61,1.24,2.46,34.97,31.94,2.18
000905.SH,20251203,7044.8568,7064.16,6975.0888,6996.3552,7040.3008,-43.9456,-0.62%,157838867.0,25130865.15,163767342.11,144778438.42,125920551.89,113683645.96,57320740.24,1.39,2.75,34.9,31.88,2.12
000905.SH,20251202,7084.799,7085.3031,7022.6102,7040.3008,7101.8323,-61.5315,-0.87%,149518197.0,24736027.34,164623760.0,145525982.1,125913283.11,113676345.21,57312955.17,1.32,2.61,35.08,32.04,2.19
000905.SH,20251201,7053.8471,7101.8323,7040.8033,7101.8323,7031.5505,70.2818,1.00%,178973432.0,30853369.36,166037438.21,146692642.02,125910400.14,113673457.1,57310014.93,1.57,3.12,35.39,32.32,2.21
000905.SH,20251128,6947.2369,7031.7124,6941.4833,7031.5505,6951.2844,80.2661,1.15%,140211184.0,24325519.46,164547207.17,145275484.33,125910399.59,113673456.54,57309370.94,1.23,2.45,35.07,32.03,2.19
000905.SH,20251127,6970.7329,7045.8447,6943.4443,6951.2844,6965.0453,-13.7609,-0.20%,137841103.0,25301315.29,162729725.51,143731958.33,125902901.81,113665925.75,57294000.81,1.21,2.41,34.68,31.67,2.16
000905.SH,20251126,6946.0812,7024.8824,6936.8765,6965.0453,6954.6034,10.4419,0.15%,148943526.0,27485834.17,163052438.53,144035629.27,125902902.74,113662852.7,57289368.6,1.31,2.6,34.75,31.74,2.17
000905.SH,20251125,6915.1233,7018.4695,6912.3198,6954.6034,6868.9664,85.637,1.25%,162712530.0,28920491.49,162825650.14,143879773.69,125902914.16,113662807.92,57285212.74,1.43,2.84,34.7,31.69,2.16
000905.SH,20251124,6856.7546,6905.9229,6797.4956,6868.9664,6817.4103,51.5561,0.76%,166363913.0,27021325.44,161069335.43,142240897.57,125902894.54,113662842.4,57286129.94,1.46,2.9,34.33,31.35,2.14
000905.SH,20251121,6955.7485,6986.7784,6817.4103,6817.4103,7061.9497,-244.5394,-3.46%,208933384.0,31096871.82,159822398.99,141217436.57,125896176.57,113656147.24,57266521.3,1.84,3.65,34.06,31.11,2.12
000905.SH,20251120,7174.1046,7180.732,7056.9003,7061.9497,7122.7465,-60.7968,-0.85%,159618746.0,25415816.75,165285148.49,145604375.72,125893991.32,113582236.84,57261048.17,1.41,2.79,35.23,32.17,2.2
000905.SH,20251119,7141.2641,7178.1495,7086.1232,7122.7465,7151.0176,-28.2711,-0.40%,162786602.0,25675508.6,166650675.96,146818576.71,125878251.27,113566496.79,57244958.12,1.43,2.84,35.52,32.44,2.21
000905.SH,20251118,7215.0302,7230.5416,7118.4085,7151.0176,7235.3512,-84.3336,-1.17%,202214121.0,30654002.46,167346161.35,147414124.0,125818457.36,113566322.69,57244654.68,1.78,3.53,35.66,32.57,2.22
000905.SH,20251117,7248.9216,7262.3306,7202.5932,7235.3512,7235.4617,-0.1105,-0.00%,203050602.0,31082315.94,169428974.22,149241553.94,125827596.58,113575373.74,57289185.6,1.79,3.54,36.11,32.98,2.25
000905.SH,20251114,7283.6993,7329.5958,7235.4617,7235.4617,7355.2911,-119.8294,-1.63%,205864910.0,31048505.99,169670946.18,149278225.99,125815455.46,113329222.07,57245890.19,1.82,3.6,36.16,33.03,2.26
000905.SH,20251113,7243.64,7366.4121,7243.64,7355.2911,7243.2483,112.0428,1.55%,199890230.0,33959606.06,172284676.08,151574876.09,125815352.87,113329215.32,57246445.37,1.76,3.49,36.72,33.53,2.29
000905.SH,20251112,7264.792,7305.8564,7187.8685,7243.2483,7291.6084,-48.3601,-0.66%,185507010.0,31384034.13,169743937.41,149427644.37,125815352.87,113313611.38,57237953.72,1.64,3.24,36.18,33.14,2.26
000905.SH,20251111,7364.9251,7379.806,7281.9746,7291.6084,7343.8017,-52.1933,-0.71%,191660313.0,33859766.08,170526571.31,150317636.96,125808117.71,113306379.47,57230721.81,1.69,3.35,36.34,33.29,2.27
000905.SH,20251110,7357.3392,7384.7854,7289.7682,7343.8017,7327.9108,15.8909,0.22%,204501330.0,37131063.7,171506321.91,151275778.62,125797423.86,113294872.68,57210063.51,1.81,3.57,36.55,33.48,2.28
000905.SH,20251107,7307.2959,7371.4378,7285.8192,7327.9108,7345.723,-17.8122,-0.24%,192920578.0,33639893.55,170970930.13,150794418.57,125766377.39,113294496.5,57209562.03,1.7,3.37,36.44,33.38,2.27
000905.SH,20251106,7243.1959,7352.1766,7243.1959,7345.723,7229.341,116.382,1.61%,201722967.0,35280956.94,171418993.75,151058536.33,125757931.59,113259226.12,57206253.21,1.78,3.53,36.53,33.46,2.28
000905.SH,20251105,7098.9557,7257.84,7098.9557,7229.341,7210.8253,18.5157,0.26%,195580243.0,31184464.61,168808537.31,148814993.92,125757931.59,113256578.23,57202091.36,1.73,3.42,35.98,32.95,2.25
000905.SH,20251104,7315.1888,7323.7044,7167.3474,7210.8253,7333.6013,-122.776,-1.67%,193325842.0,32639239.27,168294028.74,148305945.05,125742551.64,113241345.67,57186921.71,1.71,3.38,35.87,32.85,2.24
000905.SH,20251103,7327.12,7336.5108,7214.8331,7333.6013,7331.0031,2.5982,0.04%,221687060.0,39039710.22,171031203.34,150642080.09,125742577.44,113241336.86,57177647.29,1.96,3.88,36.45,33.39,2.28
000905.SH,20251031,7385.7423,7430.8564,7331.0031,7331.0031,7385.7109,-54.7078,-0.74%,232041676.0,43491817.67,171082631.39,150548172.15,125746299.01,113245199.86,57180060.42,2.05,4.06,36.46,33.4,2.28
000905.SH,20251030,7462.4326,7463.6529,7375.2391,7385.7109,7480.9666,-95.2557,-1.27%,243412036.0,47383226.98,172161435.0,151682094.88,125739466.66,113228981.85,57110839.9,2.15,4.26,36.69,33.73,2.3
000905.SH,20251029,7350.7566,7480.9666,7350.7566,7480.9666,7341.0304,139.9362,1.91%,223844133.0,44314138.02,174206123.75,153559336.74,125738712.21,113228020.01,57130000.73,1.98,3.92,37.13,34.32,2.34
000905.SH,20251028,7344.4539,7404.756,7308.2722,7341.0304,7379.3941,-38.3637,-0.52%,202118463.0,42206863.39,171055803.4,150737015.51,125720533.84,113210304.19,57068049.35,1.79,3.54,36.45,34.03,2.3
000905.SH,20251027,7336.2041,7391.2121,7302.0165,7379.3941,7258.5343,120.8598,1.67%,232051821.0,47176206.8,171901595.08,151425778.89,125717598.89,113207421.86,57015317.37,2.05,4.07,36.64,34.56,2.32
000905.SH,20251024,7175.9233,7258.5343,7174.351,7258.5343,7142.9536,115.5807,1.62%,195323933.0,36606181.75,169110492.95,149029114.78,125717575.38,113207386.53,57000699.24,1.73,3.43,36.04,34.39,2.29
000905.SH,20251023,7108.8545,7153.6555,7022.2945,7142.9536,7128.4776,14.476,0.20%,188933732.0,28630440.99,166676421.65,146894879.11,125717574.1,113207345.63,57000637.31,1.67,3.31,35.52,33.95,2.26
000905.SH,20251022,7135.2084,7166.5571,7101.8265,7128.4776,7185.624,-57.1464,-0.80%,169743254.0,28620026.67,166459223.12,146614062.8,125714752.95,113207345.63,56993855.17,1.5,2.98,35.48,33.9,2.26
000905.SH,20251021,7095.6159,7193.73,7082.2995,7185.624,7069.6412,115.9828,1.64%,205973829.0,34499129.5,167712543.9,147717165.25,125714290.95,113206916.38,56986945.24,1.82,3.61,35.74,34.16,2.28
000905.SH,20251020,7092.8836,7129.9939,7033.3835,7069.6412,7016.0661,53.5751,0.76%,176834192.0,31467507.69,165011414.53,145409176.31,125720855.41,113213358.36,56993387.23,1.56,3.1,35.17,33.66,2.24
000905.SH,20251017,7226.4214,7254.5786,7009.8906,7016.0661,7231.5336,-215.4675,-2.98%,200044113.0,34811389.28,163865209.24,144321450.08,125719361.3,113105628.3,56993406.76,1.77,3.51,34.92,33.44,2.23
000905.SH,20251016,7269.2587,7305.9472,7206.4433,7231.5336,7294.0014,-62.4678,-0.86%,194936370.0,35983753.0,168602221.7,148445351.76,125719291.64,113105188.41,56992649.99,1.72,3.42,35.93,34.43,2.29
000905.SH,20251015,7205.7367,7294.0014,7153.4185,7294.0014,7194.8509,99.1505,1.38%,217559777.0,39745897.08,169925958.83,149743861.34,125719212.81,113104742.21,56991480.01,1.92,3.82,36.21,34.7,2.31
000905.SH,20251014,7434.1149,7459.0156,7166.0822,7194.8509,7376.5636,-181.7127,-2.46%,277358873.0,50583851.54,167750714.23,147863304.22,125716911.87,113103252.91,56991486.47,2.45,4.87,35.75,34.27,2.28
000905.SH,20251013,7135.104,7391.8246,7135.104,7376.5636,7398.2241,-21.6605,-0.29%,258027817.0,47328553.28,171612588.53,151176351.02,125716156.21,113102497.25,56989841.16,2.28,4.53,36.57,35.05,2.33
000905.SH,20251010,7499.3917,7509.1161,7373.9841,7398.2241,7548.9226,-150.6985,-2.00%,262256646.0,50212743.51,172229085.96,151632370.8,125715891.17,113025297.58,56985411.55,2.32,4.6,36.7,35.18,2.34
000905.SH,20251009,7470.0474,7559.092,7437.3242,7548.9226,7412.3684,136.5542,1.84%,283130784.0,53575680.68,175411558.51,154144548.19,125708089.52,113014965.14,56975638.94,2.51,4.97,37.38,35.83,2.38
000905.SH,20250930,7372.524,7428.0307,7372.0634,7412.3684,7350.5599,61.8085,0.84%,220707502.0,44495637.46,172456573.97,151474714.16,125708111.43,112984981.61,56971871.04,1.95,3.87,36.75,35.23,2.34
000905.SH,20250929,7251.5221,7377.2217,7216.7357,7350.5599,7240.9114,109.6485,1.51%,233539418.0,43386448.97,170976165.37,150284024.09,125709103.58,112984588.57,56968186.77,2.07,4.1,36.44,34.92,2.32
000905.SH,20250926,7311.8433,7351.7931,7237.0459,7240.9114,7341.3238,-100.4124,-1.37%,211444148.0,43019760.18,168675110.84,148150615.87,125711238.37,112980813.7,56954002.91,1.87,3.71,35.95,34.45,2.29
000905.SH,20250925,7325.6602,7379.6109,7312.3508,7341.3238,7323.7093,17.6145,0.24%,236175030.0,49304678.72,170830477.38,149907238.48,125711075.17,112916881.64,56947083.0,2.09,4.15,36.41,34.89,2.32
000905.SH,20250924,7140.3128,7327.0207,7133.4321,7323.7093,7180.7137,142.9956,1.99%,240064938.0,47726227.43,170534955.83,149739636.44,125716436.02,112917663.25,56950338.36,2.13,4.22,36.34,34.83,2.31
