股票代码,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,涨跌额,涨跌幅(%),成交量(手),成交额(万元),当日总市值(十万元),当日流通市值(十万元),当日总股本(万股),当日流通股本(万股),当日自由流通股本(万股),换手率(%),换手率(自由流通股),市盈率,市盈率(TTM),市净率
399006.SZ,20251205,3084.2174,3115.8141,3048.943,3109.2974,3067.4842,41.8132,1.36%,188484887.0,47173955.32,84398636.38,71769149.37,15150602.2,12443165.98,8877812.59,2.35,3.3,46.64,39.82,5.13
399006.SZ,20251204,3037.0512,3075.4584,3016.5793,3067.4842,3036.7864,30.6978,1.01%,175615635.0,41172807.47,83316289.55,70852460.62,15150598.81,12443162.59,8877809.2,1.96,2.75,46.04,39.3,5.06
399006.SZ,20251203,3078.8583,3105.304,3028.6962,3036.7864,3071.1487,-34.3623,-1.12%,195851910.0,46629675.63,82574645.69,70129129.03,15150598.81,12443162.59,8877799.2,2.19,3.07,45.63,38.96,5.02
399006.SZ,20251202,3091.3693,3094.1765,3056.3621,3071.1487,3092.4985,-21.3498,-0.69%,192465240.0,44729623.22,83539335.03,70933782.18,15150598.81,12443162.59,8877524.58,2.31,3.23,46.16,39.41,5.08
399006.SZ,20251201,3060.5573,3093.9617,3037.6879,3092.4985,3052.5871,39.9114,1.31%,210082057.0,51830090.63,84186759.49,71447721.23,15150523.22,12443087.0,8877940.57,2.72,3.81,46.52,39.72,5.12
399006.SZ,20251128,3029.9768,3067.76,3013.4936,3052.5871,3031.2956,21.2915,0.70%,187381791.0,45672053.11,83095898.94,70428443.79,15147762.07,12440446.42,8875300.0,2.29,3.21,45.92,39.2,5.06
399006.SZ,20251127,3041.2046,3113.4418,3027.305,3031.2956,3044.6945,-13.3989,-0.44%,195142885.0,49473476.91,82463532.96,69915630.45,15145001.0,12437685.35,8872538.93,2.43,3.41,45.57,38.9,5.02
399006.SZ,20251126,2976.7049,3081.4907,2962.9922,3044.6945,2980.9335,63.761,2.14%,212833212.0,52359902.72,82783114.63,70230227.49,15145001.0,12437571.98,8872425.56,2.75,3.85,45.74,39.05,5.04
399006.SZ,20251125,2970.7312,3027.83,2961.9324,2980.9335,2929.0429,51.8906,1.77%,228087380.0,52245480.02,81472188.64,68937644.96,15145089.57,12437697.55,8872250.02,3.06,4.29,45.02,38.43,4.96
399006.SZ,20251124,2946.456,2951.4342,2892.2743,2929.0429,2920.0778,8.9651,0.31%,219085908.0,47621623.62,80285810.52,67835437.03,15145069.94,12437732.02,8839299.2,2.9,4.08,44.36,37.88,4.89
399006.SZ,20251121,2979.3711,2996.7938,2920.0389,2920.0778,3042.3406,-122.2628,-4.02%,246486373.0,53010271.5,79960785.15,67586523.84,15145069.87,12437731.96,8838536.27,2.96,4.17,44.18,37.72,4.87
399006.SZ,20251120,3131.8382,3137.0651,3039.3766,3042.3406,3076.8452,-34.5046,-1.12%,194502677.0,44518040.11,83081132.55,69790738.69,15145069.87,12367731.96,8838536.27,2.2,3.08,45.91,39.2,5.06
399006.SZ,20251119,3065.165,3113.222,3061.9631,3076.8452,3069.2196,7.6256,0.25%,209978109.0,45566342.02,84183789.91,70679834.69,15145039.82,12367701.9,8838012.57,2.28,3.19,46.52,39.72,5.13
399006.SZ,20251118,3089.3817,3115.3064,3052.636,3069.2196,3105.2034,-35.9838,-1.16%,224288954.0,50156674.65,84044160.39,70552550.87,15145020.71,12367682.79,8837383.1,2.83,3.96,46.44,39.65,5.12
399006.SZ,20251117,3097.3354,3120.7346,3082.2344,3105.2034,3111.507,-6.3036,-0.20%,213074767.0,48664359.59,85115609.94,71401561.28,15144976.7,12367638.78,8837339.09,2.61,3.65,47.03,40.16,5.18
399006.SZ,20251114,3145.9236,3167.1052,3111.507,3111.507,3201.7536,-90.2466,-2.82%,209983124.0,48792056.78,85410232.1,71645449.31,15134554.09,12351886.66,8837339.02,2.41,3.37,47.19,40.29,5.21
399006.SZ,20251113,3119.0856,3209.7026,3107.623,3201.7536,3122.027,79.7266,2.55%,206383934.0,52292295.45,87735025.66,73681888.57,15134554.08,12351886.65,8837339.01,2.54,3.55,48.48,41.39,5.35
399006.SZ,20251112,3122.5768,3137.5823,3078.6435,3122.027,3134.3159,-12.2889,-0.39%,199842483.0,48783467.1,85489807.98,71712727.43,15134554.01,12351886.58,8835588.44,2.33,3.26,47.24,40.33,5.22
399006.SZ,20251111,3197.1225,3209.8897,3130.5753,3134.3159,3178.8272,-44.5113,-1.40%,203102230.0,50669509.6,85856091.31,71969967.43,15134470.37,12351802.94,8835504.8,2.47,3.46,47.44,40.51,5.23
399006.SZ,20251110,3221.9327,3236.6054,3138.3027,3178.8272,3208.2057,-29.3785,-0.92%,205337561.0,51889931.68,86893242.81,72947279.84,15134431.39,12351802.93,8835504.79,2.85,3.99,48.01,40.99,5.3
399006.SZ,20251107,3201.2585,3240.345,3178.802,3208.2057,3224.6238,-16.4181,-0.51%,199442356.0,49851753.13,87482968.03,73558881.24,15134037.69,12351422.48,8834974.34,2.51,3.51,48.34,41.27,5.33
399006.SZ,20251106,3185.1284,3236.6786,3177.603,3224.6238,3166.2312,58.3926,1.84%,195826587.0,50117118.09,87815603.39,73769160.24,15134037.69,12319460.93,8834974.34,2.67,3.72,48.52,41.43,5.35
399006.SZ,20251105,3068.9486,3179.9292,3068.9486,3166.2312,3134.0895,32.1417,1.03%,200008333.0,47363064.04,86319414.08,72444873.47,15134014.6,12318823.01,8830258.74,2.62,3.66,47.7,40.72,5.26
399006.SZ,20251104,3190.404,3207.1021,3111.0196,3134.0895,3196.8709,-62.7814,-1.96%,191439663.0,47681660.04,85526082.81,71750771.73,15134014.6,12318823.01,8830258.74,2.64,3.69,47.26,40.35,5.21
399006.SZ,20251103,3179.2966,3199.3986,3120.851,3196.8709,3187.5327,9.3382,0.29%,208981990.0,53580151.53,87305855.23,73225042.63,15134014.6,12318823.01,8830258.74,3.15,4.39,48.24,41.19,5.32
399006.SZ,20251031,3260.2637,3281.6616,3187.5327,3187.5327,3263.0222,-75.4895,-2.31%,213475246.0,59152940.33,87128877.77,73087806.58,15137736.17,12322686.0,8833954.54,3.47,4.83,48.14,41.11,5.3
399006.SZ,20251030,3313.7878,3331.8594,3259.2101,3263.0222,3324.2713,-61.2491,-1.84%,217610200.0,64141855.71,88837133.06,74723064.04,15137736.06,12322685.89,8833952.23,3.58,4.99,49.09,42.39,5.42
399006.SZ,20251029,3263.9836,3324.2713,3258.6886,3324.2713,3229.5754,94.6959,2.93%,207178367.0,61664554.45,90375015.09,76035411.91,15137736.06,12322685.89,8829289.09,3.02,4.21,49.94,44.45,5.56
399006.SZ,20251028,3205.4421,3282.3283,3205.0502,3229.5754,3234.4546,-4.8792,-0.15%,201432397.0,56933670.6,87917763.13,73940059.28,15137023.76,12322583.56,8831051.93,2.55,3.56,48.58,43.93,5.44
399006.SZ,20251027,3227.179,3241.9506,3179.6234,3234.4546,3171.5687,62.8859,1.98%,207256403.0,61171860.49,88027071.68,74087478.31,15137095.52,12322569.0,8836164.16,2.99,4.17,48.64,43.99,5.47
399006.SZ,20251024,3087.6283,3171.5687,3082.0644,3171.5687,3062.1626,109.4061,3.57%,183073809.0,52637735.69,86494680.52,72774647.77,15137084.68,12322558.16,8809131.22,2.41,3.37,47.79,43.51,5.39
399006.SZ,20251023,3050.7359,3066.4603,3003.3363,3062.1626,3059.3192,2.8434,0.09%,162399490.0,40453835.3,83850126.5,70417426.19,15136387.92,12321861.39,8807997.84,1.92,2.69,46.33,42.26,5.25
399006.SZ,20251022,3061.267,3089.764,3044.0446,3059.3192,3083.7157,-24.3965,-0.79%,158313410.0,41298991.97,83718009.49,70320083.42,15136387.92,12321861.39,8806179.45,1.8,2.52,46.26,42.27,5.24
399006.SZ,20251021,3017.7725,3101.9319,2994.7596,3083.7157,2993.4549,90.2608,3.02%,172028506.0,47563222.06,84463780.94,70840755.54,15136387.92,12321861.39,8805174.1,2.29,3.2,46.67,41.94,5.3
399006.SZ,20251020,3007.2079,3042.1995,2970.1883,2993.4549,2935.3698,58.0851,1.98%,155937611.0,43509258.72,82346439.77,68915521.31,15136173.68,12321647.15,8804959.86,2.07,2.9,45.5,42.05,5.24
399006.SZ,20251017,3026.3981,3042.2862,2932.6835,2935.3698,3037.4423,-102.0725,-3.36%,178268865.0,46199089.01,80918889.12,67640702.61,15135407.61,12321647.15,8804959.86,2.48,3.47,44.71,41.35,5.15
399006.SZ,20251016,3008.3723,3068.838,3001.1047,3037.4423,3025.8673,11.575,0.38%,173471667.0,47369391.64,83687820.25,69934765.5,15135364.78,12321148.56,8804461.27,2.53,3.54,46.24,42.76,5.33
399006.SZ,20251015,2964.5166,3030.5856,2927.5146,3025.8673,2955.9831,69.8842,2.36%,179838526.0,48863565.89,83436098.4,69780796.09,15135293.95,12321085.85,8803819.4,2.64,3.7,46.1,42.63,5.31
399006.SZ,20251014,3120.9952,3124.8337,2943.583,2955.9831,3078.7623,-122.7792,-3.99%,216718242.0,60342662.32,81682573.46,68223506.22,15135216.25,12321008.15,8803819.4,3.32,4.65,45.13,41.73,5.2
399006.SZ,20251013,2975.0258,3096.4008,2975.0258,3078.7623,3113.2621,-34.4998,-1.11%,210881630.0,57418469.06,84859438.72,70985477.37,15135215.21,12321007.1,8803818.35,3.3,4.62,46.89,43.35,5.4
399006.SZ,20251010,3230.4568,3235.8553,3097.6347,3113.2621,3261.822,-148.5599,-4.55%,219702850.0,61760057.55,85809680.31,71803738.79,15135214.09,12321005.99,8803817.23,3.65,5.12,47.41,43.83,5.46
399006.SZ,20251009,3251.0398,3322.4437,3243.7058,3261.822,3238.1603,23.6617,0.73%,230359686.0,65449729.61,89727163.23,75279961.31,15135199.34,12318523.65,8799861.74,3.94,5.51,49.58,45.83,5.71
399006.SZ,20250930,3239.3262,3279.0176,3218.6927,3238.1603,3238.0119,0.1484,0.00%,196651529.0,58047782.93,88962260.61,74627987.73,15135079.18,12318403.49,8799791.83,3.27,4.57,49.16,45.44,5.66
399006.SZ,20250929,3165.065,3259.4197,3164.804,3238.0119,3151.5299,86.482,2.74%,200825881.0,57066791.09,88613977.73,74403417.26,15135015.88,12318928.04,8799753.07,3.58,5.01,48.96,45.27,5.64
