股票代码,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,涨跌额,涨跌幅(%),成交量(手),成交额(万元),当日总市值(十万元),当日流通市值(十万元),当日总股本(万股),当日流通股本(万股),当日自由流通股本(万股),换手率(%),换手率(自由流通股),市盈率,市盈率(TTM),市净率
000300.SH,20251205,4547.9056,4593.8279,4535.0195,4584.5368,4546.5664,37.9704,0.84%,196799968.0,41214680.65,664680584.48,509550961.9,432779417.25,327708804.29,110329585.08,0.6,1.78,14.62,14.02,1.46
000300.SH,20251204,4533.6004,4557.4228,4514.1878,4546.5664,4531.0486,15.5178,0.34%,147198110.0,34876739.92,661713377.81,506944282.71,432779480.67,327708867.71,110329648.5,0.45,1.33,14.56,13.96,1.45
000300.SH,20251203,4554.5894,4569.821,4523.5017,4531.0486,4554.3347,-23.2861,-0.51%,169762790.0,37448616.89,660723560.09,506078400.84,432778589.88,327708791.56,110327630.38,0.52,1.54,14.53,13.94,1.42
000300.SH,20251202,4571.9098,4575.4945,4539.4312,4554.3347,4576.4856,-22.1509,-0.48%,148493132.0,36436642.65,664633350.45,508603875.34,432775087.95,327708746.72,110327585.53,0.45,1.35,14.62,14.02,1.46
000300.SH,20251201,4539.1877,4576.9654,4531.2917,4576.4856,4526.6616,49.824,1.10%,200382317.0,46386158.73,666282304.33,510106604.09,432675292.69,327709113.68,110327952.49,0.61,1.82,14.66,14.05,1.46
000300.SH,20251128,4511.4972,4531.7219,4492.4256,4526.6616,4515.4027,11.2589,0.25%,142902096.0,34183231.8,660992976.77,505375619.11,432672477.38,327508649.26,110251499.1,0.44,1.3,14.54,13.94,1.45
000300.SH,20251127,4520.014,4559.2183,4509.8635,4515.4027,4517.6255,-2.2228,-0.05%,150311772.0,41778984.36,661260588.8,505104968.76,432670041.14,327505816.29,110272173.71,0.46,1.36,14.55,13.95,1.45
000300.SH,20251126,4490.2021,4538.1361,4485.6984,4517.6255,4490.4047,27.2208,0.61%,156200368.0,42736137.77,660024394.24,504019189.17,432625263.9,327505781.29,110278293.53,0.48,1.42,14.52,13.92,1.45
000300.SH,20251125,4475.8359,4510.7729,4467.3529,4490.4047,4448.0478,42.3569,0.95%,169571929.0,41152379.7,659930992.14,503201688.09,432616209.2,327505641.19,110277893.92,0.52,1.54,14.52,13.92,1.45
000300.SH,20251124,4473.1563,4478.8081,4421.8123,4448.0478,4453.6076,-5.5598,-0.12%,185833729.0,42580746.95,654670265.28,499140286.85,432616209.2,327505641.19,110244908.63,0.57,1.69,14.4,13.81,1.44
